as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,CT,Home purchase,VA-guaranteed,Loan originated,396
2007,CT,Home purchase,VA-guaranteed,Application denied by financial institution,39
2007,CT,Home purchase,VA-guaranteed,Application approved but not accepted,27
2007,CT,Home purchase,FSA/RHS-guaranteed,Loan originated,47
2007,CT,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,5
2007,CT,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,CT,Home purchase,FHA-insured,Loan originated,4214
2007,CT,Home purchase,FHA-insured,Application denied by financial institution,659
2007,CT,Home purchase,FHA-insured,Application approved but not accepted,213
2007,CT,Home purchase,Conventional,Loan originated,47002
2007,DC,Refinancing,Conventional,Loan originated,10682
2007,DC,Refinancing,Conventional,Application denied by financial institution,5770
2007,DC,Refinancing,Conventional,Application approved but not accepted,2022
2007,DC,Home purchase,VA-guaranteed,Loan originated,7
2007,DC,Home purchase,VA-guaranteed,Application denied by financial institution,7
2007,DC,Home purchase,VA-guaranteed,Application approved but not accepted,4
2007,DC,Home purchase,FHA-insured,Loan originated,77
2007,DC,Home purchase,FHA-insured,Application denied by financial institution,34
2007,DC,Home purchase,FHA-insured,Application approved but not accepted,12
2007,DC,Home purchase,Conventional,Loan originated,11457
2007,DC,Home purchase,Conventional,Application denied by financial institution,2576
2007,DC,Home purchase,Conventional,Application approved but not accepted,1437
2007,CT,Refinancing,VA-guaranteed,Loan originated,25
2007,CT,Refinancing,VA-guaranteed,Application denied by financial institution,8
2007,CT,Refinancing,VA-guaranteed,Application approved but not accepted,4
2007,CT,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,DE,Home purchase,VA-guaranteed,Application denied by financial institution,54
2007,DE,Home purchase,VA-guaranteed,Application approved but not accepted,24
2007,DE,Home purchase,FSA/RHS-guaranteed,Loan originated,37
2007,DE,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,5
2007,DE,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,DE,Home purchase,FHA-insured,Loan originated,981
2007,DE,Home purchase,FHA-insured,Application denied by financial institution,155
2007,DE,Home purchase,FHA-insured,Application approved but not accepted,52
2007,DE,Home purchase,Conventional,Loan originated,15227
2007,DE,Home purchase,Conventional,Application denied by financial institution,3501
2007,DE,Home purchase,Conventional,Application approved but not accepted,1987
2007,DC,Refinancing,VA-guaranteed,Loan originated,7
2007,DC,Refinancing,VA-guaranteed,Application denied by financial institution,2
2007,DC,Refinancing,FHA-insured,Loan originated,202
2007,DC,Refinancing,FHA-insured,Application denied by financial institution,125
2007,DC,Refinancing,FHA-insured,Application approved but not accepted,19
2007,FL,Home purchase,FHA-insured,Application denied by financial institution,5033
2007,FL,Home purchase,FHA-insured,Application approved but not accepted,827
2007,FL,Home purchase,Conventional,Loan originated,302627
2007,FL,Home purchase,Conventional,Application denied by financial institution,136536
2007,FL,Home purchase,Conventional,Application approved but not accepted,59314
2007,DE,Refinancing,VA-guaranteed,Loan originated,73
2007,DE,Refinancing,VA-guaranteed,Application denied by financial institution,16
2007,DE,Refinancing,VA-guaranteed,Application approved but not accepted,4
2007,DE,Refinancing,FSA/RHS-guaranteed,Loan originated,1
2007,DE,Refinancing,FHA-insured,Loan originated,730
2007,DE,Refinancing,FHA-insured,Application denied by financial institution,338
2007,DE,Refinancing,FHA-insured,Application approved but not accepted,99
2007,DE,Refinancing,Conventional,Loan originated,16979
2007,DE,Refinancing,Conventional,Application denied by financial institution,13612
2007,DE,Refinancing,Conventional,Application approved but not accepted,3456
2007,DE,Home purchase,VA-guaranteed,Loan originated,509
2007,FL,Refinancing,FSA/RHS-guaranteed,Loan originated,5
2007,FL,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,12
