as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,OR,Home purchase,FSA/RHS-guaranteed,Loan originated,255
2007,OR,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,56
2007,OR,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,4
2007,OR,Home purchase,FHA-insured,Loan originated,2003
2007,OR,Home purchase,FHA-insured,Application denied by financial institution,654
2007,OR,Home purchase,FHA-insured,Application approved but not accepted,228
2007,OR,Home purchase,Conventional,Loan originated,62665
2007,OR,Home purchase,Conventional,Application denied by financial institution,15451
2007,PA,Home purchase,FSA/RHS-guaranteed,Loan originated,648
2007,PA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,81
2007,PA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,11
2007,PA,Home purchase,FHA-insured,Loan originated,11449
2007,PA,Home purchase,FHA-insured,Application denied by financial institution,1557
2007,PA,Home purchase,FHA-insured,Application approved but not accepted,577
2007,PA,Home purchase,Conventional,Loan originated,157873
2007,PA,Home purchase,Conventional,Application denied by financial institution,31903
2007,PA,Home purchase,Conventional,Application approved but not accepted,19408
2007,OR,Refinancing,VA-guaranteed,Loan originated,289
2007,OR,Refinancing,VA-guaranteed,Application denied by financial institution,128
2007,OR,Refinancing,VA-guaranteed,Application approved but not accepted,55
2007,OR,Refinancing,FSA/RHS-guaranteed,Loan originated,6
2007,OR,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,OR,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,3
2007,OR,Refinancing,FHA-insured,Loan originated,2081
2007,PR,Home purchase,Conventional,Application denied by financial institution,5866
2007,PR,Home purchase,Conventional,Application approved but not accepted,1573
2007,PA,Refinancing,VA-guaranteed,Loan originated,318
2007,PA,Refinancing,VA-guaranteed,Application denied by financial institution,103
2007,PA,Refinancing,VA-guaranteed,Application approved but not accepted,29
2007,PA,Refinancing,FSA/RHS-guaranteed,Loan originated,2
2007,PA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,PA,Refinancing,FHA-insured,Loan originated,4660
2007,PA,Refinancing,FHA-insured,Application denied by financial institution,2948
2007,PA,Refinancing,FHA-insured,Application approved but not accepted,595
2007,PA,Refinancing,Conventional,Loan originated,178772
2007,PA,Refinancing,Conventional,Application denied by financial institution,157375
2007,PA,Refinancing,Conventional,Application approved but not accepted,39407
2007,PA,Home purchase,VA-guaranteed,Loan originated,2375
2007,PA,Home purchase,VA-guaranteed,Application denied by financial institution,304
2007,PA,Home purchase,VA-guaranteed,Application approved but not accepted,96
2007,PR,Refinancing,FHA-insured,Loan originated,1440
2007,PR,Refinancing,FHA-insured,Application denied by financial institution,1098
2007,PR,Refinancing,FHA-insured,Application approved but not accepted,106
2007,PR,Refinancing,Conventional,Loan originated,15914
2007,PR,Refinancing,Conventional,Application denied by financial institution,7923
2007,PR,Refinancing,Conventional,Application approved but not accepted,1665
2007,PR,Home purchase,VA-guaranteed,Loan originated,323
2007,PR,Home purchase,VA-guaranteed,Application denied by financial institution,107
2007,PR,Home purchase,VA-guaranteed,Application approved but not accepted,24
2007,PR,Home purchase,FSA/RHS-guaranteed,Loan originated,1563
2007,PR,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,377
2007,PR,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,91
2007,PR,Home purchase,FHA-insured,Loan originated,3057
2007,PR,Home purchase,FHA-insured,Application denied by financial institution,1373
2007,PR,Home purchase,FHA-insured,Application approved but not accepted,154
2007,PR,Home purchase,Conventional,Loan originated,17457
2007,RI,Refinancing,Conventional,Application approved but not accepted,3843
2007,RI,Home purchase,VA-guaranteed,Loan originated,79
2007,RI,Home purchase,VA-guaranteed,Application denied by financial institution,9
2007,RI,Home purchase,VA-guaranteed,Application approved but not accepted,4
2007,RI,Home purchase,FSA/RHS-guaranteed,Loan originated,1
2007,RI,Home purchase,FHA-insured,Loan originated,381
2007,RI,Home purchase,FHA-insured,Application denied by financial institution,139
2007,RI,Home purchase,FHA-insured,Application approved but not accepted,26
2007,RI,Home purchase,Conventional,Loan originated,11878
2007,RI,Home purchase,Conventional,Application denied by financial institution,3409
2007,RI,Home purchase,Conventional,Application approved but not accepted,1636
2007,PR,Refinancing,VA-guaranteed,Loan originated,28
2007,PR,Refinancing,VA-guaranteed,Application denied by financial institution,20
2007,PR,Refinancing,VA-guaranteed,Application approved but not accepted,4
2007,PR,Refinancing,FSA/RHS-guaranteed,Loan originated,16
2007,PR,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,39
2007,SC,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,65
2007,SC,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,SC,Home purchase,FHA-insured,Loan originated,4157
2007,SC,Home purchase,FHA-insured,Application denied by financial institution,1119
2007,SC,Home purchase,FHA-insured,Application approved but not accepted,233
2007,SC,Home purchase,Conventional,Loan originated,81455
2007,SC,Home purchase,Conventional,Application denied by financial institution,20690
2007,SC,Home purchase,Conventional,Application approved but not accepted,10584
2007,RI,Refinancing,VA-guaranteed,Loan originated,4
2007,RI,Refinancing,VA-guaranteed,Application denied by financial institution,11
2007,RI,Refinancing,FSA/RHS-guaranteed,Loan originated,1
2007,RI,Refinancing,FHA-insured,Loan originated,464
2007,RI,Refinancing,FHA-insured,Application denied by financial institution,386
2007,RI,Refinancing,FHA-insured,Application approved but not accepted,51
2007,RI,Refinancing,Conventional,Loan originated,18798
2007,RI,Refinancing,Conventional,Application denied by financial institution,14524
2007,SC,Refinancing,VA-guaranteed,Loan originated,296
2007,SC,Refinancing,VA-guaranteed,Application denied by financial institution,115
2007,SC,Refinancing,VA-guaranteed,Application approved but not accepted,36
2007,SC,Refinancing,FSA/RHS-guaranteed,Loan originated,6
2007,SC,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,SC,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,SC,Refinancing,FHA-insured,Loan originated,2014
2007,SC,Refinancing,FHA-insured,Application denied by financial institution,1261
2007,SC,Refinancing,FHA-insured,Application approved but not accepted,212
2007,SC,Refinancing,Conventional,Loan originated,61207
2007,SC,Refinancing,Conventional,Application denied by financial institution,49399
2007,SC,Refinancing,Conventional,Application approved but not accepted,12914
2007,SC,Home purchase,VA-guaranteed,Loan originated,2630
2007,SC,Home purchase,VA-guaranteed,Application denied by financial institution,322
2007,SC,Home purchase,VA-guaranteed,Application approved but not accepted,131
2007,SC,Home purchase,FSA/RHS-guaranteed,Loan originated,239
2007,SD,Refinancing,FHA-insured,Application approved but not accepted,51
2007,SD,Refinancing,Conventional,Loan originated,8719
2007,SD,Refinancing,Conventional,Application denied by financial institution,4456
2007,SD,Refinancing,Conventional,Application approved but not accepted,1428
2007,SD,Home purchase,VA-guaranteed,Loan originated,575
2007,SD,Home purchase,VA-guaranteed,Application denied by financial institution,56
2007,SD,Home purchase,VA-guaranteed,Application approved but not accepted,37
2007,SD,Home purchase,FSA/RHS-guaranteed,Loan originated,711
2007,SD,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,52
2007,SD,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,46
2007,SD,Home purchase,FHA-insured,Loan originated,679
2007,SD,Home purchase,FHA-insured,Application denied by financial institution,76
2007,SD,Home purchase,FHA-insured,Application approved but not accepted,48
2007,SD,Home purchase,Conventional,Loan originated,10475
2007,SD,Home purchase,Conventional,Application denied by financial institution,1510
2007,SD,Home purchase,Conventional,Application approved but not accepted,1122
2007,TN,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,105
2007,TN,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,7
2007,TN,Home purchase,FHA-insured,Loan originated,8874
2007,TN,Home purchase,FHA-insured,Application denied by financial institution,2002
2007,TN,Home purchase,FHA-insured,Application approved but not accepted,427
2007,TN,Home purchase,Conventional,Loan originated,100018
2007,TN,Home purchase,Conventional,Application denied by financial institution,26073
2007,TN,Home purchase,Conventional,Application approved but not accepted,12904
2007,SD,Refinancing,VA-guaranteed,Loan originated,37
2007,SD,Refinancing,VA-guaranteed,Application denied by financial institution,20
2007,SD,Refinancing,VA-guaranteed,Application approved but not accepted,3
2007,SD,Refinancing,FSA/RHS-guaranteed,Loan originated,26
2007,SD,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,3
2007,SD,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,SD,Refinancing,FHA-insured,Loan originated,245
2007,SD,Refinancing,FHA-insured,Application denied by financial institution,154
2007,TN,Refinancing,VA-guaranteed,Loan originated,663
2007,TN,Refinancing,VA-guaranteed,Application denied by financial institution,173
2007,TN,Refinancing,VA-guaranteed,Application approved but not accepted,80
2007,TN,Refinancing,FSA/RHS-guaranteed,Loan originated,6
2007,TN,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,4
2007,TN,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,2
2007,TN,Refinancing,FHA-insured,Loan originated,5849
2007,TN,Refinancing,FHA-insured,Application denied by financial institution,3022
2007,TN,Refinancing,FHA-insured,Application approved but not accepted,469
2007,TN,Refinancing,Conventional,Loan originated,80157
2007,TN,Refinancing,Conventional,Application denied by financial institution,70816
2007,TN,Refinancing,Conventional,Application approved but not accepted,14927
2007,TN,Home purchase,VA-guaranteed,Loan originated,4468
2007,TN,Home purchase,VA-guaranteed,Application denied by financial institution,454
2007,TN,Home purchase,VA-guaranteed,Application approved but not accepted,158
2007,TN,Home purchase,FSA/RHS-guaranteed,Loan originated,1241
2007,TX,Refinancing,FHA-insured,Application approved but not accepted,806
2007,TX,Refinancing,Conventional,Loan originated,149588
2007,TX,Refinancing,Conventional,Application denied by financial institution,191105
2007,TX,Refinancing,Conventional,Application approved but not accepted,34351
2007,TX,Home purchase,VA-guaranteed,Loan originated,15128
2007,TX,Home purchase,VA-guaranteed,Application denied by financial institution,1577
2007,TX,Home purchase,VA-guaranteed,Application approved but not accepted,907
2007,TX,Home purchase,FSA/RHS-guaranteed,Loan originated,1344
2007,TX,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,169
2007,TX,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,27
2007,TX,Home purchase,FHA-insured,Loan originated,44825
2007,TX,Home purchase,FHA-insured,Application denied by financial institution,9845
2007,TX,Home purchase,FHA-insured,Application approved but not accepted,2913
2007,TX,Home purchase,Conventional,Loan originated,379337
2007,TX,Home purchase,Conventional,Application denied by financial institution,106406
2007,TX,Home purchase,Conventional,Application approved but not accepted,57402
2007,UT,Home purchase,FSA/RHS-guaranteed,Loan originated,162
2007,UT,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,19
2007,UT,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,5
2007,UT,Home purchase,FHA-insured,Loan originated,5346
2007,UT,Home purchase,FHA-insured,Application denied by financial institution,868
2007,UT,Home purchase,FHA-insured,Application approved but not accepted,215
2007,UT,Home purchase,Conventional,Loan originated,54888
2007,UT,Home purchase,Conventional,Application denied by financial institution,17329
2007,UT,Home purchase,Conventional,Application approved but not accepted,8171
2007,TX,Refinancing,VA-guaranteed,Loan originated,1803
2007,TX,Refinancing,VA-guaranteed,Application denied by financial institution,312
2007,TX,Refinancing,VA-guaranteed,Application approved but not accepted,222
2007,TX,Refinancing,FSA/RHS-guaranteed,Loan originated,5
2007,TX,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,TX,Refinancing,FHA-insured,Loan originated,5570
2007,TX,Refinancing,FHA-insured,Application denied by financial institution,2547
2007,VA,Home purchase,Conventional,Application denied by financial institution,24339
2007,VA,Home purchase,Conventional,Application approved but not accepted,13811
2007,UT,Refinancing,VA-guaranteed,Loan originated,239
2007,UT,Refinancing,VA-guaranteed,Application denied by financial institution,84
2007,UT,Refinancing,VA-guaranteed,Application approved but not accepted,24
2007,UT,Refinancing,FSA/RHS-guaranteed,Loan originated,6
2007,UT,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,UT,Refinancing,FHA-insured,Loan originated,4034
2007,UT,Refinancing,FHA-insured,Application denied by financial institution,1021
2007,UT,Refinancing,FHA-insured,Application approved but not accepted,255
2007,UT,Refinancing,Conventional,Loan originated,63126
2007,UT,Refinancing,Conventional,Application denied by financial institution,31395
2007,UT,Refinancing,Conventional,Application approved but not accepted,11749
2007,UT,Home purchase,VA-guaranteed,Loan originated,912
2007,UT,Home purchase,VA-guaranteed,Application denied by financial institution,132
2007,UT,Home purchase,VA-guaranteed,Application approved but not accepted,40
2007,VA,Refinancing,FHA-insured,Loan originated,5889
2007,VA,Refinancing,FHA-insured,Application denied by financial institution,2485
2007,VA,Refinancing,FHA-insured,Application approved but not accepted,477
2007,VA,Refinancing,Conventional,Loan originated,150636
2007,VA,Refinancing,Conventional,Application denied by financial institution,109896
2007,VA,Refinancing,Conventional,Application approved but not accepted,30255
2007,VA,Home purchase,VA-guaranteed,Loan originated,6973
2007,VA,Home purchase,VA-guaranteed,Application denied by financial institution,485
2007,VA,Home purchase,VA-guaranteed,Application approved but not accepted,199
2007,VA,Home purchase,FSA/RHS-guaranteed,Loan originated,826
2007,VA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,136
2007,VA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,3
2007,VA,Home purchase,FHA-insured,Loan originated,5726
2007,VA,Home purchase,FHA-insured,Application denied by financial institution,998
2007,VA,Home purchase,FHA-insured,Application approved but not accepted,259
2007,VA,Home purchase,Conventional,Loan originated,127006
2007,VT,Home purchase,VA-guaranteed,Application approved but not accepted,9
2007,VT,Home purchase,FSA/RHS-guaranteed,Loan originated,15
2007,VT,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,VT,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,VT,Home purchase,FHA-insured,Loan originated,154
2007,VT,Home purchase,FHA-insured,Application denied by financial institution,40
2007,VT,Home purchase,FHA-insured,Application approved but not accepted,19
2007,VT,Home purchase,Conventional,Loan originated,7014
2007,VT,Home purchase,Conventional,Application denied by financial institution,1633
2007,VT,Home purchase,Conventional,Application approved but not accepted,1006
2007,VA,Refinancing,VA-guaranteed,Loan originated,1136
2007,VA,Refinancing,VA-guaranteed,Application denied by financial institution,233
2007,VA,Refinancing,VA-guaranteed,Application approved but not accepted,79
2007,VA,Refinancing,FSA/RHS-guaranteed,Loan originated,10
2007,VA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,VA,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,WA,Home purchase,FHA-insured,Application denied by financial institution,1121
2007,WA,Home purchase,FHA-insured,Application approved but not accepted,408
2007,WA,Home purchase,Conventional,Loan originated,124711
2007,WA,Home purchase,Conventional,Application denied by financial institution,28396
2007,WA,Home purchase,Conventional,Application approved but not accepted,19120
2007,VT,Refinancing,VA-guaranteed,Loan originated,15
2007,VT,Refinancing,VA-guaranteed,Application denied by financial institution,9
2007,VT,Refinancing,VA-guaranteed,Application approved but not accepted,4
2007,VT,Refinancing,FHA-insured,Loan originated,152
2007,VT,Refinancing,FHA-insured,Application denied by financial institution,98
2007,VT,Refinancing,FHA-insured,Application approved but not accepted,14
2007,VT,Refinancing,Conventional,Loan originated,10420
2007,VT,Refinancing,Conventional,Application denied by financial institution,4898
2007,VT,Refinancing,Conventional,Application approved but not accepted,1709
2007,VT,Home purchase,VA-guaranteed,Loan originated,74
2007,VT,Home purchase,VA-guaranteed,Application denied by financial institution,13
2007,WA,Refinancing,FSA/RHS-guaranteed,Loan originated,10
2007,WA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,8
2007,WA,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,4
2007,WA,Refinancing,FHA-insured,Loan originated,5714
2007,WA,Refinancing,FHA-insured,Application denied by financial institution,2710
2007,WA,Refinancing,FHA-insured,Application approved but not accepted,657
2007,WA,Refinancing,Conventional,Loan originated,149119
2007,WA,Refinancing,Conventional,Application denied by financial institution,80765
2007,WA,Refinancing,Conventional,Application approved but not accepted,26936
2007,WA,Home purchase,VA-guaranteed,Loan originated,4077
2007,WA,Home purchase,VA-guaranteed,Application denied by financial institution,564
2007,WA,Home purchase,VA-guaranteed,Application approved but not accepted,305
2007,WA,Home purchase,FSA/RHS-guaranteed,Loan originated,129
2007,WA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,35
2007,WA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,7
2007,WA,Home purchase,FHA-insured,Loan originated,4282
2007,WI,Refinancing,Conventional,Application approved but not accepted,18894
2007,WI,Home purchase,VA-guaranteed,Loan originated,916
2007,WI,Home purchase,VA-guaranteed,Application denied by financial institution,155
2007,WI,Home purchase,VA-guaranteed,Application approved but not accepted,52
2007,WI,Home purchase,FSA/RHS-guaranteed,Loan originated,620
2007,WI,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,94
2007,WI,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,10
2007,WI,Home purchase,FHA-insured,Loan originated,3015
2007,WI,Home purchase,FHA-insured,Application denied by financial institution,553
2007,WI,Home purchase,FHA-insured,Application approved but not accepted,206
2007,WI,Home purchase,Conventional,Loan originated,71997
2007,WI,Home purchase,Conventional,Application denied by financial institution,12665
2007,WI,Home purchase,Conventional,Application approved but not accepted,6390
2007,WA,Refinancing,VA-guaranteed,Loan originated,1058
2007,WA,Refinancing,VA-guaranteed,Application denied by financial institution,280
2007,WA,Refinancing,VA-guaranteed,Application approved but not accepted,144
2007,WV,Home purchase,FHA-insured,Application denied by financial institution,305
2007,WV,Home purchase,FHA-insured,Application approved but not accepted,114
2007,WV,Home purchase,Conventional,Loan originated,18188
2007,WV,Home purchase,Conventional,Application denied by financial institution,7296
2007,WV,Home purchase,Conventional,Application approved but not accepted,2847
2007,WI,Refinancing,VA-guaranteed,Loan originated,182
2007,WI,Refinancing,VA-guaranteed,Application denied by financial institution,96
2007,WI,Refinancing,VA-guaranteed,Application approved but not accepted,24
2007,WI,Refinancing,FSA/RHS-guaranteed,Loan originated,31
2007,WI,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,3
2007,WI,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,WI,Refinancing,FHA-insured,Loan originated,4078
2007,WI,Refinancing,FHA-insured,Application denied by financial institution,1838
2007,WI,Refinancing,FHA-insured,Application approved but not accepted,421
2007,WI,Refinancing,Conventional,Loan originated,108607
2007,WI,Refinancing,Conventional,Application denied by financial institution,60102
2007,WV,Refinancing,VA-guaranteed,Application approved but not accepted,6
2007,WV,Refinancing,FSA/RHS-guaranteed,Loan originated,2
2007,WV,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,WV,Refinancing,FHA-insured,Loan originated,549
2007,WV,Refinancing,FHA-insured,Application denied by financial institution,327
2007,WV,Refinancing,FHA-insured,Application approved but not accepted,100
2007,WV,Refinancing,Conventional,Loan originated,21469
2007,WV,Refinancing,Conventional,Application denied by financial institution,15232
2007,WV,Refinancing,Conventional,Application approved but not accepted,3439
2007,WV,Home purchase,VA-guaranteed,Loan originated,487
2007,WV,Home purchase,VA-guaranteed,Application denied by financial institution,84
2007,WV,Home purchase,VA-guaranteed,Application approved but not accepted,38
2007,WV,Home purchase,FSA/RHS-guaranteed,Loan originated,298
2007,WV,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,54
2007,WV,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,7
2007,WV,Home purchase,FHA-insured,Loan originated,1204
2007,WY,Refinancing,Conventional,Loan originated,7828
2007,WY,Refinancing,Conventional,Application denied by financial institution,4748
2007,WY,Refinancing,Conventional,Application approved but not accepted,1296
2007,WY,Home purchase,VA-guaranteed,Loan originated,471
2007,WY,Home purchase,VA-guaranteed,Application denied by financial institution,44
2007,WY,Home purchase,VA-guaranteed,Application approved but not accepted,20
2007,WY,Home purchase,FSA/RHS-guaranteed,Loan originated,6
2007,WY,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,WY,Home purchase,FHA-insured,Loan originated,853
2007,WY,Home purchase,FHA-insured,Application denied by financial institution,141
2007,WY,Home purchase,FHA-insured,Application approved but not accepted,47
2007,WY,Home purchase,Conventional,Loan originated,9223
2007,WY,Home purchase,Conventional,Application denied by financial institution,2181
2007,WY,Home purchase,Conventional,Application approved but not accepted,1025
2007,WV,Refinancing,VA-guaranteed,Loan originated,43
2007,WV,Refinancing,VA-guaranteed,Application denied by financial institution,17
2007,AR,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,161
2007,AR,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,10
2007,AR,Home purchase,FHA-insured,Loan originated,4402
2007,AR,Home purchase,FHA-insured,Application denied by financial institution,938
2007,AR,Home purchase,FHA-insured,Application approved but not accepted,212
2007,AR,Home purchase,Conventional,Loan originated,33679
2007,AR,Home purchase,Conventional,Application denied by financial institution,11311
2007,AR,Home purchase,Conventional,Application approved but not accepted,3957
2007,AL,Refinancing,VA-guaranteed,Loan originated,317
2007,WY,Refinancing,VA-guaranteed,Loan originated,48
2007,WY,Refinancing,VA-guaranteed,Application denied by financial institution,18
2007,WY,Refinancing,VA-guaranteed,Application approved but not accepted,4
2007,WY,Refinancing,FSA/RHS-guaranteed,Loan originated,1
2007,WY,Refinancing,FHA-insured,Loan originated,436
2007,WY,Refinancing,FHA-insured,Application denied by financial institution,211
2007,WY,Refinancing,FHA-insured,Application approved but not accepted,35
2007,AK,Refinancing,Conventional,Application approved but not accepted,1533
2007,AK,Home purchase,VA-guaranteed,Loan originated,1693
2007,AK,Home purchase,VA-guaranteed,Application denied by financial institution,151
2007,AK,Home purchase,VA-guaranteed,Application approved but not accepted,77
2007,AK,Home purchase,FSA/RHS-guaranteed,Loan originated,96
2007,AK,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,11
2007,AK,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,AK,Home purchase,FHA-insured,Loan originated,1323
2007,AK,Home purchase,FHA-insured,Application denied by financial institution,167
2007,AR,Refinancing,Conventional,Loan originated,31112
2007,AR,Refinancing,Conventional,Application denied by financial institution,14865
2007,AR,Refinancing,Conventional,Application approved but not accepted,3682
2007,AR,Home purchase,VA-guaranteed,Loan originated,1455
2007,AR,Home purchase,VA-guaranteed,Application denied by financial institution,209
2007,AR,Home purchase,VA-guaranteed,Application approved but not accepted,40
2007,AR,Home purchase,FSA/RHS-guaranteed,Loan originated,1313
2007,AR,Refinancing,FHA-insured,Application approved but not accepted,148
2007,AL,Refinancing,VA-guaranteed,Application denied by financial institution,87
2007,AL,Refinancing,VA-guaranteed,Application approved but not accepted,43
2007,AL,Refinancing,FSA/RHS-guaranteed,Loan originated,5
2007,AL,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,4
2007,AL,Refinancing,FHA-insured,Loan originated,2883
2007,AL,Refinancing,FHA-insured,Application denied by financial institution,1652
2007,AL,Refinancing,FHA-insured,Application approved but not accepted,330
2007,AK,Refinancing,VA-guaranteed,Application denied by financial institution,50
2007,AK,Refinancing,FSA/RHS-guaranteed,Loan originated,1
2007,AK,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,AK,Refinancing,FHA-insured,Loan originated,418
2007,AK,Refinancing,FHA-insured,Application denied by financial institution,189
2007,AK,Refinancing,FHA-insured,Application approved but not accepted,40
2007,AK,Refinancing,Conventional,Loan originated,8162
2007,AK,Refinancing,Conventional,Application denied by financial institution,4989
2007,CA,Home purchase,Conventional,Application denied by financial institution,183964
2007,CA,Home purchase,Conventional,Application approved but not accepted,109446
2007,AZ,Refinancing,VA-guaranteed,Loan originated,495
2007,AZ,Refinancing,VA-guaranteed,Application denied by financial institution,168
2007,AZ,Refinancing,VA-guaranteed,Application approved but not accepted,64
2007,AZ,Refinancing,FSA/RHS-guaranteed,Loan originated,2
2007,AZ,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,4
2007,AZ,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,4
2007,AZ,Refinancing,FHA-insured,Loan originated,4303
2007,AZ,Refinancing,FHA-insured,Application denied by financial institution,2374
2007,AZ,Refinancing,FHA-insured,Application approved but not accepted,464
2007,AZ,Refinancing,Conventional,Loan originated,139583
2007,AZ,Refinancing,Conventional,Application denied by financial institution,108726
2007,AZ,Refinancing,Conventional,Application approved but not accepted,31631
2007,AZ,Home purchase,VA-guaranteed,Loan originated,3088
2007,AZ,Home purchase,VA-guaranteed,Application denied by financial institution,525
2007,AL,Home purchase,VA-guaranteed,Application approved but not accepted,124
2007,AL,Home purchase,VA-guaranteed,Application denied by financial institution,260
2007,AL,Home purchase,VA-guaranteed,Loan originated,3142
2007,AL,Refinancing,Conventional,Application approved but not accepted,10876
2007,AL,Refinancing,Conventional,Application denied by financial institution,44556
2007,AL,Refinancing,Conventional,Loan originated,60168
2007,AK,Home purchase,Conventional,Application approved but not accepted,810
2008,AR,Refinancing,FHA-insured,Application approved but not accepted,430
2008,AR,Refinancing,Conventional,Loan originated,26757
2008,AR,Refinancing,Conventional,Application denied by financial institution,9969
2008,AR,Refinancing,Conventional,Application approved but not accepted,2067
2008,AR,Home purchase,VA-guaranteed,Loan originated,1685
2008,AR,Home purchase,VA-guaranteed,Application denied by financial institution,265
2008,AR,Home purchase,VA-guaranteed,Application approved but not accepted,65
2008,AR,Home purchase,FSA/RHS-guaranteed,Loan originated,2517
2008,AR,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,467
2008,AR,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,45
2008,AR,Home purchase,FHA-insured,Loan originated,8408
2008,AR,Home purchase,FHA-insured,Application denied by financial institution,1746
2008,AR,Home purchase,FHA-insured,Application approved but not accepted,419
2008,AR,Home purchase,Conventional,Loan originated,18420
2008,AR,Home purchase,Conventional,Application denied by financial institution,5208
2008,AR,Home purchase,Conventional,Application approved but not accepted,1535
2008,AZ,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,318
2008,AZ,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,29
2008,AZ,Home purchase,FHA-insured,Loan originated,28867
2008,AZ,Home purchase,FHA-insured,Application denied by financial institution,6905
2008,AZ,Home purchase,FHA-insured,Application approved but not accepted,2000
2008,AZ,Home purchase,Conventional,Loan originated,46559
2008,AZ,Home purchase,Conventional,Application denied by financial institution,14234
2008,AZ,Home purchase,Conventional,Application approved but not accepted,8435
2008,AR,Refinancing,VA-guaranteed,Loan originated,408
2008,AR,Refinancing,VA-guaranteed,Application denied by financial institution,103
2008,AR,Refinancing,VA-guaranteed,Application approved but not accepted,49
2008,AR,Refinancing,FSA/RHS-guaranteed,Loan originated,35
2008,AR,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,10
2008,AR,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2008,AR,Refinancing,FHA-insured,Loan originated,4887
2008,AR,Refinancing,FHA-insured,Application denied by financial institution,4107
2008,CA,Home purchase,Conventional,Application approved but not accepted,51981
2008,AZ,Refinancing,VA-guaranteed,Loan originated,1547
2008,AZ,Refinancing,VA-guaranteed,Application denied by financial institution,443
2008,AZ,Refinancing,VA-guaranteed,Application approved but not accepted,178
2008,AZ,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,4
2008,AZ,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2008,AZ,Refinancing,FHA-insured,Loan originated,11617
2008,AZ,Refinancing,FHA-insured,Application denied by financial institution,10148
2008,AZ,Refinancing,FHA-insured,Application approved but not accepted,1410
