as_of_year,state_code,state_abbr,msamd,msamd_name,total_applications,total_originated,total_denied,denial_rate,origination_rate,conventional_share,govt_backed_share,purchase_share,recovery_index
2007,18,IN,17140,"Cincinnati, Middletown - OH, KY, IN",3414,2236,1178,0.345,0.655,0.92,0.0797,0.3805,0.053
2007,18,IN,18020,Columbus - IN,2860,1999,861,0.301,0.699,0.907,0.0906,0.4906,1.0
2007,18,IN,21140,"Elkhart, Goshen - IN",6984,4606,2378,0.3405,0.6595,0.9142,0.0845,0.4214,1.0
2007,18,IN,21780,"Evansville - IN, KY",10628,7498,3130,0.2945,0.7055,0.9007,0.0972,0.483,1.0
2007,18,IN,21780,"Evansville - IN, KY",10628,7498,3130,0.2945,0.7055,0.9007,0.0972,0.483,5.7542
2007,18,IN,23060,Fort Wayne - IN,15031,9955,5076,0.3377,0.6623,0.8707,0.129,0.4664,1.0
2007,18,IN,23844,Gary - IN,29607,19488,10119,0.3418,0.6582,0.9037,0.0959,0.4394,1.0
2007,18,IN,26900,"Indianapolis, Carmel - IN",78425,50831,27594,0.3519,0.6481,0.887,0.1121,0.4589,1.0
2007,18,IN,29020,Kokomo - IN,3853,2364,1489,0.3865,0.6135,0.9315,0.068,0.3974,1.0
2007,18,IN,29140,Lafayette - IN,6245,4416,1829,0.2929,0.7071,0.8785,0.1187,0.4911,1.0
2007,18,IN,31140,"Louisville, Jefferson County - KY, IN",10582,6972,3610,0.3411,0.6589,0.8719,0.1242,0.4185,1.0
2007,18,IN,31140,"Louisville, Jefferson County - KY, IN",10582,6972,3610,0.3411,0.6589,0.8719,0.1242,0.4185,0.2559
2007,18,IN,33140,"Michigan City, La Porte - IN",4293,2791,1502,0.3499,0.6501,0.9003,0.0995,0.4014,1.0
2007,18,IN,34620,Muncie - IN,3381,2171,1210,0.3579,0.6421,0.8876,0.1124,0.4079,1.0
2007,18,IN,43780,"South Bend, Mishawaka - IN, MI",9530,6286,3244,0.3404,0.6596,0.907,0.093,0.4833,1.0
2007,18,IN,43780,"South Bend, Mishawaka - IN, MI",9530,6286,3244,0.3404,0.6596,0.907,0.093,0.4833,4.5686
2007,18,IN,45460,Terre Haute - IN,6070,3639,2431,0.4005,0.5995,0.9333,0.0624,0.4142,1.0
2007,19,IA,11180,Ames - IA,2505,1984,521,0.208,0.792,0.9501,0.0435,0.5697,1.0
2007,19,IA,16300,Cedar Rapids - IA,9657,7266,2391,0.2476,0.7524,0.9368,0.0617,0.5328,1.0
2007,19,IA,19340,"Davenport, Moline, Rock Island - IA, IL",6547,5048,1499,0.229,0.771,0.888,0.111,0.4901,0.8603
2007,19,IA,19340,"Davenport, Moline, Rock Island - IA, IL",6547,5048,1499,0.229,0.771,0.888,0.111,0.4901,1.0
2007,19,IA,19780,"Des Moines, West Des Moines - IA",25221,18399,6822,0.2705,0.7295,0.9381,0.0616,0.4925,1.0
2007,19,IA,20220,Dubuque - IA,3237,2594,643,0.1986,0.8014,0.9549,0.0389,0.5141,1.0
2007,19,IA,26980,Iowa City - IA,4529,3708,821,0.1813,0.8187,0.9711,0.0274,0.5924,1.0
2007,19,IA,36540,"Omaha, Council Bluffs - NE, IA",4948,3540,1408,0.2846,0.7154,0.9177,0.0814,0.4151,1.0
2007,19,IA,36540,"Omaha, Council Bluffs - NE, IA",4948,3540,1408,0.2846,0.7154,0.9177,0.0814,0.4151,0.1805
2007,19,IA,43580,"Sioux City - IA, NE, SD",3136,2208,928,0.2959,0.7041,0.9349,0.0647,0.4764,1.0
2007,19,IA,43580,"Sioux City - IA, NE, SD",3136,2208,928,0.2959,0.7041,0.9349,0.0647,0.4764,4.1536
2007,19,IA,43580,"Sioux City - IA, NE, SD",3136,2208,928,0.2959,0.7041,0.9349,0.0647,0.4764,5.8399
2007,19,IA,47940,"Waterloo, Cedar Falls - IA",5697,4416,1281,0.2249,0.7751,0.9308,0.0681,0.5334,1.0
2007,2,AK,11260,Anchorage - AK,15928,11877,4051,0.2543,0.7457,0.8127,0.1826,0.4792,1.0
2007,2,AK,21820,Fairbanks - AK,3224,2422,802,0.2488,0.7512,0.7838,0.2137,0.5447,1.0
2007,20,KS,28140,"Kansas City - MO, KS",36067,25926,10141,0.2812,0.7188,0.9154,0.083,0.4426,1.0
2007,20,KS,28140,"Kansas City - MO, KS",36067,25926,10141,0.2812,0.7188,0.9154,0.083,0.4426,0.6131
2007,20,KS,29940,Lawrence - KS,3765,2957,808,0.2146,0.7854,0.9442,0.0558,0.4892,1.0
2007,20,KS,41140,"St. Joseph - MO, KS",183,99,84,0.459,0.541,0.918,0.0546,0.3552,1.0
2007,20,KS,41140,"St. Joseph - MO, KS",183,99,84,0.459,0.541,0.918,0.0546,0.3552,0.0355
2007,20,KS,45820,Topeka - KS,9326,6490,2836,0.3041,0.6959,0.8947,0.1012,0.4545,1.0
2007,20,KS,48620,Wichita - KS,25532,18156,7376,0.2889,0.7111,0.8807,0.1172,0.5544,1.0
2007,21,KY,14540,Bowling Green - KY,4422,3347,1075,0.2431,0.7569,0.91,0.0841,0.505,1.0
2007,21,KY,17140,"Cincinnati, Middletown - OH, KY, IN",19038,12810,6228,0.3271,0.6729,0.9003,0.0982,0.4281,5.5764
2007,21,KY,17140,"Cincinnati, Middletown - OH, KY, IN",19038,12810,6228,0.3271,0.6729,0.9003,0.0982,0.4281,1.0
2007,21,KY,17140,"Cincinnati, Middletown - OH, KY, IN",19038,12810,6228,0.3271,0.6729,0.9003,0.0982,0.4281,0.2954
2007,21,KY,17300,"Clarksville - TN, KY",2913,2097,816,0.2801,0.7199,0.7463,0.2434,0.5256,1.0
2007,21,KY,17300,"Clarksville - TN, KY",2913,2097,816,0.2801,0.7199,0.7463,0.2434,0.5256,0.3189
2007,21,KY,21060,Elizabethtown - KY,4897,3294,1603,0.3273,0.6727,0.8385,0.1589,0.4178,1.0
2007,21,KY,21780,"Evansville - IN, KY",1847,1241,606,0.3281,0.6719,0.8993,0.0926,0.4218,0.1738
2007,21,KY,21780,"Evansville - IN, KY",1847,1241,606,0.3281,0.6719,0.8993,0.0926,0.4218,1.0
2007,21,KY,26580,"Huntington, Ashland - WV, KY, OH",3503,2233,1270,0.3625,0.6375,0.8924,0.1025,0.4299,1.0
2007,21,KY,26580,"Huntington, Ashland - WV, KY, OH",3503,2233,1270,0.3625,0.6375,0.8924,0.1025,0.4299,1.4768
2007,21,KY,26580,"Huntington, Ashland - WV, KY, OH",3503,2233,1270,0.3625,0.6375,0.8924,0.1025,0.4299,0.8417
2007,21,KY,30460,"Lexington, Fayette - KY",17417,12747,4670,0.2681,0.7319,0.9078,0.086,0.4641,1.0
2007,21,KY,31140,"Louisville, Jefferson County - KY, IN",41360,27987,13373,0.3233,0.6767,0.8909,0.107,0.4394,3.9085
2007,21,KY,31140,"Louisville, Jefferson County - KY, IN",41360,27987,13373,0.3233,0.6767,0.8909,0.107,0.4394,1.0
2007,21,KY,36980,Owensboro - KY,3587,2498,1089,0.3036,0.6964,0.9083,0.0825,0.5146,1.0
2007,22,LA,10780,Alexandria - LA,5395,3597,1798,0.3333,0.6667,0.9179,0.0476,0.4823,1.0
2007,22,LA,12940,Baton Rouge - LA,32758,22256,10502,0.3206,0.6794,0.9268,0.0592,0.5075,1.0
2007,22,LA,26380,"Houma, Bayou Cane, Thibodaux - LA",6642,4465,2177,0.3278,0.6722,0.9488,0.0498,0.4256,1.0
2007,22,LA,29180,Lafayette - LA,9929,7013,2916,0.2937,0.7063,0.9369,0.0522,0.5706,1.0
2007,22,LA,29340,Lake Charles - LA,6843,4551,2292,0.3349,0.6651,0.9489,0.0351,0.5164,1.0
2007,22,LA,33740,Monroe - LA,5497,3570,1927,0.3506,0.6494,0.9087,0.0548,0.4963,1.0
2007,22,LA,35380,"New Orleans, Metairie, Kenner - LA",42463,29138,13325,0.3138,0.6862,0.9386,0.0593,0.437,1.0
2007,22,LA,43340,"Shreveport, Bossier City - LA",14052,9189,4863,0.3461,0.6539,0.8721,0.1245,0.4895,1.0
2007,23,ME,12620,Bangor - ME,5573,3804,1769,0.3174,0.6826,0.9264,0.061,0.3845,1.0
2007,23,ME,30340,"Lewiston, Auburn - ME",3817,2485,1332,0.349,0.651,0.9248,0.07,0.3537,1.0
2007,23,ME,38860,"Portland, South Portland, Biddeford - ME",21628,15268,6360,0.2941,0.7059,0.9585,0.0384,0.3774,1.0
2007,24,MD,12580,"Baltimore, Towson - MD",138350,93710,44640,0.3227,0.6773,0.9299,0.07,0.326,1.0
2007,24,MD,13644,"Bethesda, Gaithersburg, Frederick - MD",49058,35314,13744,0.2802,0.7198,0.9768,0.0231,0.376,1.0
2007,24,MD,19060,"Cumberland - MD, WV",2687,1531,1156,0.4302,0.5698,0.9297,0.0569,0.2921,1.0
2007,24,MD,19060,"Cumberland - MD, WV",2687,1531,1156,0.4302,0.5698,0.9297,0.0569,0.2921,3.2609
2007,24,MD,25180,"Hagerstown, Martinsburg - MD, WV",6747,4438,2309,0.3422,0.6578,0.9309,0.0686,0.2945,1.0
2007,24,MD,25180,"Hagerstown, Martinsburg - MD, WV",6747,4438,2309,0.3422,0.6578,0.9309,0.0686,0.2945,0.9274
2007,24,MD,41540,Salisbury - MD,5978,3737,2241,0.3749,0.6251,0.9242,0.0716,0.3386,1.0
2007,24,MD,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",81283,48094,33189,0.4083,0.5917,0.9465,0.0533,0.2429,3.0993
2007,24,MD,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",81283,48094,33189,0.4083,0.5917,0.9465,0.0533,0.2429,1.0
2007,24,MD,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",81283,48094,33189,0.4083,0.5917,0.9465,0.0533,0.2429,0.7026
2007,24,MD,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",81283,48094,33189,0.4083,0.5917,0.9465,0.0533,0.2429,26.6939
2007,24,MD,48864,"Wilmington - DE, MD, NJ",4871,3241,1630,0.3346,0.6654,0.9298,0.0657,0.332,0.1989
2007,24,MD,48864,"Wilmington - DE, MD, NJ",4871,3241,1630,0.3346,0.6654,0.9298,0.0657,0.332,1.0
2007,24,MD,48864,"Wilmington - DE, MD, NJ",4871,3241,1630,0.3346,0.6654,0.9298,0.0657,0.332,1.5337
2007,25,MA,12700,Barnstable Town - MA,12324,9156,3168,0.2571,0.7429,0.9854,0.0146,0.3514,1.0
2007,25,MA,14484,"Boston, Quincy - MA",66241,44827,21414,0.3233,0.6767,0.979,0.0209,0.3797,1.0
2007,25,MA,15764,"Cambridge, Newton, Framingham - MA",45738,34109,11629,0.2543,0.7457,0.9847,0.0153,0.4182,1.0
2007,25,MA,37764,Peabody - MA,26056,17878,8178,0.3139,0.6861,0.9714,0.0286,0.3513,1.0
2007,25,MA,38340,Pittsfield - MA,4858,3482,1376,0.2832,0.7168,0.9792,0.0193,0.388,1.0
2007,25,MA,39300,"Providence, New Bedford, Fall River - RI, MA",18987,12507,6480,0.3413,0.6587,0.9561,0.0438,0.3293,1.0
2007,25,MA,39300,"Providence, New Bedford, Fall River - RI, MA",18987,12507,6480,0.3413,0.6587,0.9561,0.0438,0.3293,0.4576
2007,25,MA,44140,Springfield - MA,24085,15320,8765,0.3639,0.6361,0.9562,0.0431,0.3682,1.0
2007,25,MA,49340,Worcester - MA,30029,19297,10732,0.3574,0.6426,0.9655,0.0338,0.3414,1.0
2007,26,MI,11460,Ann Arbor - MI,11242,7554,3688,0.3281,0.6719,0.9537,0.045,0.409,1.0
2007,26,MI,12980,Battle Creek - MI,5171,3007,2164,0.4185,0.5815,0.9091,0.0853,0.3547,1.0
2007,26,MI,13020,Bay City - MI,3791,2539,1252,0.3303,0.6697,0.857,0.1369,0.388,1.0
2007,26,MI,19804,"Detroit, Livonia, Dearborn - MI",83658,39191,44467,0.5315,0.4685,0.9376,0.062,0.3988,1.0
2007,26,MI,22420,Flint - MI,17264,9268,7996,0.4632,0.5368,0.8956,0.1,0.3259,1.0
2007,26,MI,24340,"Grand Rapids, Wyoming - MI",29704,18945,10759,0.3622,0.6378,0.9084,0.0872,0.3816,1.0
2007,26,MI,26100,"Holland, Grand Haven - MI",8917,6336,2581,0.2894,0.7106,0.9297,0.0681,0.4023,1.0
2007,26,MI,27100,Jackson - MI,6719,3841,2878,0.4283,0.5717,0.8972,0.0984,0.3125,1.0
2007,26,MI,28020,"Kalamazoo, Portage - MI",11027,7209,3818,0.3462,0.6538,0.8884,0.1068,0.3923,1.0
2007,26,MI,29620,"Lansing, East Lansing - MI",16615,10631,5984,0.3602,0.6398,0.916,0.0755,0.3512,1.0
2007,26,MI,33780,Monroe - MI,5691,3248,2443,0.4293,0.5707,0.9387,0.0608,0.3795,1.0
2007,26,MI,34740,"Muskegon, Norton Shores - MI",7440,4299,3141,0.4222,0.5778,0.8746,0.1206,0.37,1.0
2007,26,MI,35660,"Niles, Benton Harbor - MI",6493,4252,2241,0.3451,0.6549,0.9128,0.0824,0.3786,1.0
2007,26,MI,40980,"Saginaw, Saginaw Township North - MI",6568,3775,2793,0.4252,0.5748,0.8758,0.1151,0.3261,1.0
2007,26,MI,43780,"South Bend, Mishawaka - IN, MI",2086,1339,747,0.3581,0.6419,0.906,0.0844,0.3591,0.2189
2007,26,MI,43780,"South Bend, Mishawaka - IN, MI",2086,1339,747,0.3581,0.6419,0.906,0.0844,0.3591,1.0
2007,26,MI,47644,"Warren, Troy, Farmington Hills - MI",102168,63810,38358,0.3754,0.6246,0.937,0.0612,0.34,1.0
2007,27,MN,20260,"Duluth - MN, WI",8226,5973,2253,0.2739,0.7261,0.9408,0.0542,0.4007,1.0
2007,27,MN,20260,"Duluth - MN, WI",8226,5973,2253,0.2739,0.7261,0.9408,0.0542,0.4007,4.836
2007,27,MN,22020,"Fargo - ND, MN",1897,1476,421,0.2219,0.7781,0.873,0.1234,0.5646,1.0
2007,27,MN,22020,"Fargo - ND, MN",1897,1476,421,0.2219,0.7781,0.873,0.1234,0.5646,0.4385
2007,27,MN,24220,"Grand Forks - ND, MN",856,610,246,0.2874,0.7126,0.9299,0.0549,0.4381,1.0
2007,27,MN,24220,"Grand Forks - ND, MN",856,610,246,0.2874,0.7126,0.9299,0.0549,0.4381,0.5068
2007,27,MN,29100,"La Crosse - WI, MN",508,389,119,0.2343,0.7657,0.9744,0.0157,0.3976,1.0
2007,27,MN,29100,"La Crosse - WI, MN",508,389,119,0.2343,0.7657,0.9744,0.0157,0.3976,0.1377
2007,27,MN,33460,"Minneapolis, St. Paul, Bloomington - MN, WI",117707,80077,37630,0.3197,0.6803,0.9556,0.0434,0.4178,1.0
2007,27,MN,33460,"Minneapolis, St. Paul, Bloomington - MN, WI",117707,80077,37630,0.3197,0.6803,0.9556,0.0434,0.4178,23.1707
2007,27,MN,40340,Rochester - MN,6697,5135,1562,0.2332,0.7668,0.9213,0.07,0.5178,1.0
2007,27,MN,41060,St. Cloud - MN,5867,4086,1781,0.3036,0.6964,0.9395,0.0496,0.4324,1.0
2007,28,MS,25060,"Gulfport, Biloxi - MS",9702,6603,3099,0.3194,0.6806,0.8969,0.0908,0.5073,1.0
2007,28,MS,25620,Hattiesburg - MS,5454,3998,1456,0.267,0.733,0.9006,0.0601,0.5473,1.0
2007,28,MS,27140,Jackson - MS,18588,12461,6127,0.3296,0.6704,0.9126,0.0851,0.5031,1.0
2007,28,MS,32820,"Memphis - TN, MS, AR",11072,7570,3502,0.3163,0.6837,0.8666,0.1278,0.5079,1.0
2007,28,MS,32820,"Memphis - TN, MS, AR",11072,7570,3502,0.3163,0.6837,0.8666,0.1278,0.5079,0.2308
2007,28,MS,32820,"Memphis - TN, MS, AR",11072,7570,3502,0.3163,0.6837,0.8666,0.1278,0.5079,7.171
2007,28,MS,37700,Pascagoula - MS,6239,4337,1902,0.3049,0.6951,0.9093,0.0833,0.4733,1.0
2007,29,MO,17860,Columbia - MO,6049,4658,1391,0.23,0.77,0.9177,0.0785,0.5442,1.0
2007,29,MO,22220,"Fayetteville, Springdale, Rogers - AR, MO",751,473,278,0.3702,0.6298,0.9294,0.0506,0.3569,1.0
2007,29,MO,22220,"Fayetteville, Springdale, Rogers - AR, MO",751,473,278,0.3702,0.6298,0.9294,0.0506,0.3569,0.0376
2007,29,MO,27620,Jefferson City - MO,5305,3874,1431,0.2697,0.7303,0.9378,0.0515,0.489,1.0
2007,29,MO,27900,Joplin - MO,7225,4933,2292,0.3172,0.6828,0.92,0.0721,0.4724,1.0
2007,29,MO,28140,"Kansas City - MO, KS",58825,38247,20578,0.3498,0.6502,0.9045,0.0934,0.4195,1.631
2007,29,MO,28140,"Kansas City - MO, KS",58825,38247,20578,0.3498,0.6502,0.9045,0.0934,0.4195,1.0
2007,29,MO,41140,"St. Joseph - MO, KS",5162,3222,1940,0.3758,0.6242,0.9241,0.0738,0.3683,28.2077
2007,29,MO,41140,"St. Joseph - MO, KS",5162,3222,1940,0.3758,0.6242,0.9241,0.0738,0.3683,1.0
2007,29,MO,41180,"St. Louis - MO, IL",112908,77158,35750,0.3166,0.6834,0.9246,0.0742,0.3759,3.6795
2007,29,MO,41180,"St. Louis - MO, IL",112908,77158,35750,0.3166,0.6834,0.9246,0.0742,0.3759,1.0
2007,29,MO,44180,Springfield - MO,21314,15393,5921,0.2778,0.7222,0.8971,0.1004,0.4487,1.0
2007,30,MT,13740,Billings - MT,6195,4756,1439,0.2323,0.7677,0.8675,0.1308,0.5595,1.0
2007,30,MT,24500,Great Falls - MT,3289,2457,832,0.253,0.747,0.7908,0.208,0.4916,1.0
2007,30,MT,33540,Missoula - MT,4334,3169,1165,0.2688,0.7312,0.9474,0.051,0.4652,1.0
2007,31,NE,30700,Lincoln - NE,9557,7442,2115,0.2213,0.7787,0.9291,0.0707,0.4766,1.0
2007,31,NE,36540,"Omaha, Council Bluffs - NE, IA",27406,20480,6926,0.2527,0.7473,0.8996,0.0994,0.494,5.5388
2007,31,NE,36540,"Omaha, Council Bluffs - NE, IA",27406,20480,6926,0.2527,0.7473,0.8996,0.0994,0.494,1.0
2007,31,NE,43580,"Sioux City - IA, NE, SD",755,476,279,0.3695,0.6305,0.951,0.0464,0.3682,0.2408
2007,31,NE,43580,"Sioux City - IA, NE, SD",755,476,279,0.3695,0.6305,0.951,0.0464,0.3682,1.0
2007,31,NE,43580,"Sioux City - IA, NE, SD",755,476,279,0.3695,0.6305,0.951,0.0464,0.3682,1.406
2007,32,NV,16180,Carson City - NV,1962,1239,723,0.3685,0.6315,0.9363,0.0637,0.2982,1.0
2007,32,NV,29820,"Las Vegas, Paradise - NV",115831,69427,46404,0.4006,0.5994,0.9636,0.0363,0.402,1.0
2007,32,NV,39900,"Reno, Sparks - NV",19949,13038,6911,0.3464,0.6536,0.9404,0.0596,0.3861,1.0
2007,33,NH,31700,"Manchester, Nashua - NH",14826,9963,4863,0.328,0.672,0.9615,0.0378,0.3646,1.0
2007,33,NH,40484,"Rockingham County, Strafford County - NH",16363,11082,5281,0.3227,0.6773,0.9671,0.0325,0.3543,1.0
2007,34,NJ,10900,"Allentown, Bethlehem, Easton - PA, NJ",4745,3176,1569,0.3307,0.6693,0.9536,0.0451,0.349,1.0
2007,34,NJ,10900,"Allentown, Bethlehem, Easton - PA, NJ",4745,3176,1569,0.3307,0.6693,0.9536,0.0451,0.349,0.1546
2007,34,NJ,12100,Atlantic City - NJ,15522,10184,5338,0.3439,0.6561,0.9371,0.0614,0.323,1.0
2007,34,NJ,15804,Camden - NJ,57956,38416,19540,0.3372,0.6628,0.9194,0.0804,0.3342,1.0
2007,34,NJ,20764,Edison - NJ,94364,65765,28599,0.3031,0.6969,0.9606,0.0391,0.3691,1.0
2007,34,NJ,35084,"Newark, Union - NJ, PA",80637,51601,29036,0.3601,0.6399,0.9598,0.0401,0.3736,1.0
2007,34,NJ,35084,"Newark, Union - NJ, PA",80637,51601,29036,0.3601,0.6399,0.9598,0.0401,0.3736,17.2929
2007,34,NJ,35644,"New York, White Plains, Wayne - NY, NJ",68055,45407,22648,0.3328,0.6672,0.9734,0.0265,0.4084,1.0
2007,34,NJ,35644,"New York, White Plains, Wayne - NY, NJ",68055,45407,22648,0.3328,0.6672,0.9734,0.0265,0.4084,0.3632
2007,34,NJ,36140,Ocean City - NJ,8767,6446,2321,0.2647,0.7353,0.9811,0.0172,0.3988,1.0
2007,34,NJ,45940,"Trenton, Ewing - NJ",14337,9521,4816,0.3359,0.6641,0.9349,0.0651,0.4062,1.0
2007,34,NJ,47220,"Vineland, Millville, Bridgeton - NJ",6534,3955,2579,0.3947,0.6053,0.8846,0.1143,0.3199,1.0
2007,34,NJ,48864,"Wilmington - DE, MD, NJ",3176,2008,1168,0.3678,0.6322,0.9222,0.0771,0.3253,0.1297
2007,34,NJ,48864,"Wilmington - DE, MD, NJ",3176,2008,1168,0.3678,0.6322,0.9222,0.0771,0.3253,0.652
2007,34,NJ,48864,"Wilmington - DE, MD, NJ",3176,2008,1168,0.3678,0.6322,0.9222,0.0771,0.3253,1.0
2007,35,NM,10740,Albuquerque - NM,45280,30931,14349,0.3169,0.6831,0.9167,0.0832,0.4087,1.0
2007,35,NM,22140,Farmington - NM,3565,2283,1282,0.3596,0.6404,0.8822,0.1116,0.4578,1.0
2007,35,NM,29740,Las Cruces - NM,7983,5242,2741,0.3434,0.6566,0.8994,0.1003,0.4155,1.0
2007,35,NM,42140,Santa Fe - NM,7001,5130,1871,0.2672,0.7328,0.9601,0.0399,0.3839,1.0
2007,36,NY,10580,"Albany, Schenectady, Troy - NY",29044,19490,9554,0.3289,0.6711,0.916,0.0828,0.4572,1.0
2007,36,NY,13780,Binghamton - NY,6609,4219,2390,0.3616,0.6384,0.9021,0.0971,0.4875,1.0
2007,36,NY,15380,"Buffalo, Niagara Falls - NY",28159,18750,9409,0.3341,0.6659,0.8894,0.1095,0.516,1.0
2007,36,NY,21300,Elmira - NY,2312,1452,860,0.372,0.628,0.9412,0.0584,0.455,1.0
2007,36,NY,24020,Glens Falls - NY,5080,3101,1979,0.3896,0.6104,0.924,0.0742,0.3762,1.0
2007,36,NY,27060,Ithaca - NY,2184,1705,479,0.2193,0.7807,0.9693,0.0293,0.4963,1.0
2007,36,NY,28740,Kingston - NY,6157,3689,2468,0.4008,0.5992,0.9638,0.0361,0.382,1.0
2007,36,NY,35004,"Nassau, Suffolk - NY",95030,58407,36623,0.3854,0.6146,0.9805,0.0195,0.3981,1.0
2007,36,NY,35644,"New York, White Plains, Wayne - NY, NJ",187378,114570,72808,0.3886,0.6114,0.989,0.0109,0.5052,2.7533
2007,36,NY,35644,"New York, White Plains, Wayne - NY, NJ",187378,114570,72808,0.3886,0.6114,0.989,0.0109,0.5052,1.0
2007,36,NY,39100,"Poughkeepsie, Newburgh, Middletown - NY",23742,14164,9578,0.4034,0.5966,0.9648,0.035,0.3834,1.0
2007,36,NY,40380,Rochester - NY,29383,19264,10119,0.3444,0.6556,0.8722,0.1235,0.5253,1.0
2007,36,NY,45060,Syracuse - NY,18571,12210,6361,0.3425,0.6575,0.863,0.1364,0.5093,1.0
2007,36,NY,46540,"Utica, Rome - NY",7885,4832,3053,0.3872,0.6128,0.8921,0.1064,0.4386,1.0
2007,37,NC,11700,Asheville - NC,19441,14165,5276,0.2714,0.7286,0.9659,0.0327,0.4479,1.0
2007,37,NC,15500,Burlington - NC,5691,3631,2060,0.362,0.638,0.8976,0.1012,0.4588,1.0
2007,37,NC,16740,"Charlotte, Gastonia, Concord - NC, SC",84495,59741,24754,0.293,0.707,0.9366,0.0622,0.5404,1.0
2007,37,NC,16740,"Charlotte, Gastonia, Concord - NC, SC",84495,59741,24754,0.293,0.707,0.9366,0.0622,0.5404,6.7198
2007,37,NC,20500,Durham - NC,19658,13943,5715,0.2907,0.7093,0.9359,0.0637,0.4956,1.0
2007,37,NC,22180,Fayetteville - NC,14821,9900,4921,0.332,0.668,0.712,0.2858,0.5168,1.0
2007,37,NC,24140,Goldsboro - NC,3680,2394,1286,0.3495,0.6505,0.8014,0.1921,0.456,1.0
2007,37,NC,24660,"Greensboro, High Point - NC",29324,19195,10129,0.3454,0.6546,0.9014,0.0981,0.4594,1.0
2007,37,NC,24780,Greenville - NC,6523,4487,2036,0.3121,0.6879,0.9092,0.0869,0.553,1.0
2007,37,NC,25860,"Hickory, Lenoir, Morganton - NC",13498,8789,4709,0.3489,0.6511,0.9186,0.0682,0.3862,1.0
2007,37,NC,27340,Jacksonville - NC,7197,5541,1656,0.2301,0.7699,0.6699,0.3292,0.6026,1.0
2007,37,NC,39580,"Raleigh, Cary - NC",53279,39910,13369,0.2509,0.7491,0.9207,0.0752,0.5495,1.0
2007,37,NC,40580,Rocky Mount - NC,5021,2892,2129,0.424,0.576,0.897,0.0982,0.426,1.0
2007,37,NC,47260,"Virginia Beach, Norfolk, Newport News - VA, NC",1683,1194,489,0.2906,0.7094,0.9192,0.0796,0.3226,1.0
2007,37,NC,47260,"Virginia Beach, Norfolk, Newport News - VA, NC",1683,1194,489,0.2906,0.7094,0.9192,0.0796,0.3226,0.0192
2007,37,NC,48900,Wilmington - NC,20566,15698,4868,0.2367,0.7633,0.9509,0.0477,0.4462,1.0
2007,37,NC,49180,"Winston, Salem - NC",19186,12773,6413,0.3343,0.6657,0.908,0.0901,0.4615,1.0
2007,38,ND,13900,Bismarck - ND,3537,2998,539,0.1524,0.8476,0.9194,0.0741,0.6016,1.0
2007,38,ND,22020,"Fargo - ND, MN",4326,3610,716,0.1655,0.8345,0.8564,0.1419,0.604,2.2804
2007,38,ND,22020,"Fargo - ND, MN",4326,3610,716,0.1655,0.8345,0.8564,0.1419,0.604,1.0
2007,38,ND,24220,"Grand Forks - ND, MN",1689,1397,292,0.1729,0.8271,0.8769,0.122,0.5761,1.9731
2007,38,ND,24220,"Grand Forks - ND, MN",1689,1397,292,0.1729,0.8271,0.8769,0.122,0.5761,1.0
2007,39,OH,10420,Akron - OH,25309,15678,9631,0.3805,0.6195,0.908,0.0919,0.4058,1.0
2007,39,OH,15940,"Canton, Massillon - OH",14408,8538,5870,0.4074,0.5926,0.8947,0.1047,0.3658,1.0
2007,39,OH,17140,"Cincinnati, Middletown - OH, KY, IN",64447,42053,22394,0.3475,0.6525,0.9029,0.0967,0.4129,18.8773
2007,39,OH,17140,"Cincinnati, Middletown - OH, KY, IN",64447,42053,22394,0.3475,0.6525,0.9029,0.0967,0.4129,3.3852
2007,39,OH,17140,"Cincinnati, Middletown - OH, KY, IN",64447,42053,22394,0.3475,0.6525,0.9029,0.0967,0.4129,1.0
2007,39,OH,17460,"Cleveland, Elyria, Mentor - OH",69450,42478,26972,0.3884,0.6116,0.9227,0.0769,0.4287,1.0
2007,39,OH,18140,Columbus - OH,70457,44901,25556,0.3627,0.6373,0.8866,0.1127,0.4581,1.0
2007,39,OH,19380,Dayton - OH,31082,19785,11297,0.3635,0.6365,0.8683,0.1308,0.4237,1.0
2007,39,OH,26580,"Huntington, Ashland - WV, KY, OH",2372,1299,1073,0.4524,0.5476,0.9304,0.0675,0.3714,0.6771
2007,39,OH,26580,"Huntington, Ashland - WV, KY, OH",2372,1299,1073,0.4524,0.5476,0.9304,0.0675,0.3714,1.0
2007,39,OH,26580,"Huntington, Ashland - WV, KY, OH",2372,1299,1073,0.4524,0.5476,0.9304,0.0675,0.3714,0.5699
2007,39,OH,30620,Lima - OH,4006,2438,1568,0.3914,0.6086,0.9196,0.0779,0.3787,1.0
2007,39,OH,31900,Mansfield - OH,4274,2418,1856,0.4343,0.5657,0.8992,0.098,0.3765,1.0
2007,39,OH,37620,"Parkersburg, Marietta, Vienna - WV, OH",1870,1184,686,0.3668,0.6332,0.9091,0.0856,0.4193,1.0
