as_of_year,state_code,state_abbr,msamd,msamd_name,total_applications,total_originated,total_denied,denial_rate,origination_rate,conventional_share,govt_backed_share,purchase_share,recovery_index
2012,6,CA,42100,"Santa Cruz, Watsonville - CA",13115,10883,2232,0.1702,0.8298,0.9247,0.0705,0.1886,1.4485
2012,6,CA,42220,"Santa Rosa, Petaluma - CA",24464,20468,3996,0.1633,0.8367,0.8846,0.1136,0.2106,1.3094
2012,6,CA,44700,Stockton - CA,26015,21097,4918,0.189,0.811,0.7124,0.2827,0.3152,0.7615
2012,6,CA,46700,"Vallejo, Fairfield - CA",19519,15578,3941,0.2019,0.7981,0.7049,0.2914,0.2711,0.8807
2012,6,CA,47300,"Visalia, Porterville - CA",10734,8557,2177,0.2028,0.7972,0.7022,0.2845,0.2734,0.5795
2012,6,CA,49700,Yuba City - CA,6148,4845,1303,0.2119,0.7881,0.6651,0.3177,0.3081,0.8797
2012,72,PR,10380,"Aguadilla, Isabela, San Sebastian - PR",2654,2049,605,0.228,0.772,0.6364,0.2193,0.4273,0.8595
2012,72,PR,21940,Fajardo - PR,1094,780,314,0.287,0.713,0.4954,0.4287,0.4671,0.7049
2012,72,PR,25020,Guayama - PR,799,583,216,0.2703,0.7297,0.388,0.4406,0.5056,0.7015
2012,72,PR,32420,Mayaguez - PR,820,580,240,0.2927,0.7073,0.6171,0.372,0.4146,0.8047
2012,72,PR,38660,Ponce - PR,2319,1726,593,0.2557,0.7443,0.4692,0.4407,0.467,0.8433
2012,72,PR,41900,"San German, Cabo Rojo - PR",1531,1118,413,0.2698,0.7302,0.5774,0.2639,0.4775,0.8563
2012,72,PR,41980,"San Juan, Caguas, Guaynabo - PR",32181,24065,8116,0.2522,0.7478,0.4996,0.4419,0.4213,0.8199
2012,72,PR,49500,Yauco - PR,654,457,197,0.3012,0.6988,0.4648,0.3471,0.4343,0.8226
2012,8,CO,14500,Boulder - CO,21560,18836,2724,0.1263,0.8737,0.9117,0.0881,0.2203,1.8415
2012,8,CO,17820,Colorado Springs - CO,40570,34469,6101,0.1504,0.8496,0.5549,0.4438,0.2528,1.3286
2012,8,CO,19740,"Denver, Aurora, Broomfield - CO",163645,136833,26812,0.1638,0.8362,0.7677,0.2317,0.274,1.3259
2012,8,CO,22660,"Fort Collins, Loveland - CO",20183,17401,2782,0.1378,0.8622,0.8299,0.1642,0.2939,1.5162
2012,8,CO,24300,Grand Junction - CO,7910,6684,1226,0.155,0.845,0.625,0.3541,0.3008,0.8
2012,8,CO,24540,Greeley - CO,13993,11464,2529,0.1807,0.8193,0.6722,0.2974,0.3532,1.0929
2012,8,CO,39380,Pueblo - CO,5790,4433,1357,0.2344,0.7656,0.6589,0.3411,0.2623,0.7811
2012,9,CT,14860,"Bridgeport, Stamford, Norwalk - CT",39535,32143,7392,0.187,0.813,0.9132,0.0864,0.2239,1.0919
2012,9,CT,25540,"Hartford, West Hartford, East Hartford - CT",45839,37642,8197,0.1788,0.8212,0.8076,0.1881,0.2374,1.0441
2012,9,CT,35300,"New Haven, Milford - CT",27573,21911,5662,0.2053,0.7947,0.8133,0.1854,0.2309,0.8181
2012,9,CT,35980,"Norwich, New London - CT",10195,8133,2062,0.2023,0.7977,0.7987,0.1878,0.2241,0.9988
2013,1,AL,11500,"Anniston, Oxford - AL",3345,2309,1036,0.3097,0.6903,0.7378,0.241,0.3474,0.796
2013,1,AL,12220,"Auburn, Opelika - AL",5374,4089,1285,0.2391,0.7609,0.7114,0.2737,0.4196,0.9302
2013,1,AL,13820,"Birmingham, Hoover - AL",39236,28303,10933,0.2786,0.7214,0.7408,0.2361,0.3651,0.7791
2013,1,AL,17980,"Columbus - GA, AL",1732,1269,463,0.2673,0.7327,0.3764,0.6091,0.3632,0.9044
2013,1,AL,17980,"Columbus - GA, AL",1732,1269,463,0.2673,0.7327,0.3764,0.6091,0.3632,0.1748
2013,1,AL,19460,Decatur - AL,5001,3397,1604,0.3207,0.6793,0.7351,0.2398,0.3559,0.876
2013,1,AL,20020,Dothan - AL,4527,3382,1145,0.2529,0.7471,0.7256,0.2498,0.3369,0.7414
2013,1,AL,22520,"Florence, Muscle Shoals - AL",4760,3742,1018,0.2139,0.7861,0.8095,0.166,0.3689,0.9156
2013,1,AL,23460,Gadsden - AL,2740,1887,853,0.3113,0.6887,0.7555,0.2135,0.3832,0.7427
2013,1,AL,26620,Huntsville - AL,18224,14158,4066,0.2231,0.7769,0.6739,0.284,0.374,0.9963
2013,1,AL,33660,Mobile - AL,11046,7698,3348,0.3031,0.6969,0.659,0.3058,0.3459,0.6342
2013,1,AL,33860,Montgomery - AL,12503,8890,3613,0.289,0.711,0.6454,0.3382,0.309,0.8268
2013,1,AL,46220,Tuscaloosa - AL,7030,5223,1807,0.257,0.743,0.7168,0.2262,0.4068,0.8788
2013,10,DE,20100,Dover - DE,5841,4473,1368,0.2342,0.7658,0.5896,0.3559,0.3451,0.701
2013,10,DE,48864,"Wilmington - DE, MD, NJ",18639,15120,3519,0.1888,0.8112,0.7508,0.2378,0.3129,0.761
2013,10,DE,48864,"Wilmington - DE, MD, NJ",18639,15120,3519,0.1888,0.8112,0.7508,0.2378,0.3129,3.8265
2013,10,DE,48864,"Wilmington - DE, MD, NJ",18639,15120,3519,0.1888,0.8112,0.7508,0.2378,0.3129,5.8687
2013,11,DC,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",25356,20629,4727,0.1864,0.8136,0.8947,0.1053,0.3175,0.9668
2013,11,DC,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",25356,20629,4727,0.1864,0.8136,0.8947,0.1053,0.3175,0.3119
